Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,215.779999,218.440002,211.509995,212.899994,209.731934,1059700
2022-04-19,211.809998,218.759995,211.169998,218.429993,215.179657,1765500
2022-04-20,220.199997,222.750000,218.860001,221.410004,218.115295,1334500
2022-04-21,206.080002,214.589996,202.940002,202.949997,199.929993,3060300
2022-04-22,202.130005,208.979996,201.410004,203.600006,200.570343,2387000
2022-04-25,202.860001,213.850006,201.770004,213.399994,210.224518,1718300
2022-04-26,212.169998,212.169998,206.850006,207.559998,204.471390,1459600
2022-04-27,207.449997,210.470001,199.630005,200.410004,197.427795,1312300
2022-04-28,202.779999,208.190002,199.740005,206.330002,203.259720,1630700
2022-04-29,204.250000,208.250000,202.580002,203.520004,200.491516,2171800
2022-05-02,203.029999,207.300003,202.289993,205.500000,202.442078,1526900
2022-05-03,204.839996,205.660004,202.210007,205.039993,201.988876,1568600
2022-05-04,205.009995,213.339996,203.360001,212.619995,209.456100,1015300
2022-05-05,211.179993,212.759995,205.479996,208.229996,205.131424,1353400
2022-05-06,206.949997,209.029999,203.360001,205.100006,202.048019,1035600
2022-05-09,205.000000,206.500000,198.970001,199.630005,196.659409,1568800
2022-05-10,201.929993,202.750000,194.360001,200.399994,197.417953,1060600
2022-05-11,198.289993,199.389999,191.199997,191.559998,188.709473,929800
2022-05-12,189.440002,193.080002,188.899994,192.660004,189.793106,1312600
2022-05-13,194.970001,198.710007,194.399994,198.190002,195.240829,897900
2022-05-16,196.809998,197.759995,193.880005,195.990005,193.073578,555700
2022-05-17,199.229996,199.229996,194.679993,197.320007,194.383789,756000
2022-05-18,195.020004,195.380005,187.130005,188.080002,185.281265,1146600
2022-05-19,186.429993,194.899994,185.759995,191.160004,188.315445,1031900
2022-05-20,192.199997,194.979996,188.520004,194.610001,191.714081,768200
2022-05-23,196.449997,197.750000,190.559998,196.979996,194.048813,765100
2022-05-24,195.789993,196.270004,188.800003,191.520004,189.044373,718100
2022-05-25,190.990005,197.449997,189.550003,195.619995,193.091370,1333300
2022-05-26,197.070007,203.360001,196.009995,202.229996,199.615921,823900
2022-05-27,204.940002,208.220001,204.580002,206.289993,203.623444,895000
2022-05-31,203.190002,204.179993,200.699997,202.580002,199.961395,1240400
2022-06-01,201.000000,204.279999,198.259995,198.580002,196.013107,1088100
2022-06-02,199.570007,204.289993,199.029999,203.649994,201.017563,525300
2022-06-03,200.550003,201.160004,199.270004,200.559998,197.967514,613700
2022-06-06,202.429993,202.429993,198.770004,199.470001,196.891602,332700
2022-06-07,197.220001,201.050003,197.220001,200.539993,197.947754,437200
2022-06-08,199.229996,199.229996,195.470001,196.179993,193.644119,633600
2022-06-09,195.639999,195.750000,191.500000,191.970001,189.488556,890600
2022-06-10,188.919998,188.919998,183.289993,183.350006,180.979965,770700
2022-06-13,180.649994,181.289993,176.210007,179.589996,177.268570,912800
2022-06-14,179.350006,180.029999,171.919998,172.020004,169.796432,1001300
2022-06-15,174.649994,180.389999,173.779999,178.339996,176.034729,672000
2022-06-16,173.630005,174.630005,169.250000,170.350006,168.148041,1093700
2022-06-17,170.339996,174.429993,170.220001,173.119995,170.882187,1500800
2022-06-21,175.820007,177.960007,174.889999,175.320007,173.053772,1040900
2022-06-22,174.600006,181.250000,172.779999,180.770004,178.433334,1072000
2022-06-23,182.580002,183.179993,179.279999,182.339996,179.983032,876600
2022-06-24,184.229996,186.539993,183.690002,184.830002,182.440826,808300
2022-06-27,185.100006,186.830002,183.360001,184.940002,182.549423,513500
2022-06-28,184.759995,186.660004,178.830002,179.470001,177.150131,660700
2022-06-29,179.940002,181.050003,176.679993,180.169998,177.841080,601800
2022-06-30,178.229996,183.779999,176.380005,182.779999,180.417328,1605800
2022-07-01,183.169998,187.490005,182.300003,186.550003,184.138596,694600
2022-07-05,183.910004,186.750000,181.500000,186.009995,183.605591,648800
2022-07-06,187.479996,189.460007,185.789993,188.910004,186.468094,611300
2022-07-07,188.820007,191.240005,188.199997,190.990005,188.521225,730200
2022-07-08,190.009995,191.619995,187.869995,190.449997,187.988205,400900
2022-07-11,189.809998,190.440002,188.399994,189.690002,187.238022,329200
2022-07-12,189.720001,191.789993,186.339996,187.179993,184.760468,738800
2022-07-13,183.240005,186.559998,181.029999,184.630005,182.243439,388300
2022-07-14,181.869995,189.960007,181.440002,189.419998,186.971512,637600
2022-07-15,191.619995,193.179993,189.940002,192.419998,189.932739,459700
2022-07-18,193.529999,194.509995,190.729996,191.669998,189.192429,456100
2022-07-19,193.869995,201.160004,192.919998,201.000000,198.401825,707600
2022-07-20,201.250000,205.839996,200.399994,205.169998,202.517914,1147900
2022-07-21,202.000000,203.880005,194.820007,200.559998,197.967514,1222800
2022-07-22,201.039993,202.110001,198.490005,200.850006,198.253769,576400
2022-07-25,200.399994,202.679993,197.009995,198.160004,195.598541,754700
2022-07-26,195.990005,196.970001,192.160004,193.199997,190.702652,646200
2022-07-27,195.100006,199.279999,191.910004,198.389999,195.825562,725400
2022-07-28,199.410004,208.320007,198.830002,207.500000,204.817825,846200
2022-07-29,207.259995,209.490005,205.070007,208.910004,206.209595,617600
2022-08-01,207.119995,211.550003,206.050003,210.779999,208.055420,776500
2022-08-02,209.130005,210.800003,206.059998,206.309998,203.643188,976300
2022-08-03,207.589996,213.259995,207.589996,213.009995,210.256592,537900
2022-08-04,213.220001,214.639999,210.619995,213.789993,211.026505,605800
2022-08-05,210.830002,212.740005,209.750000,212.449997,209.703812,708700
2022-08-08,213.910004,215.309998,211.220001,213.100006,210.345444,356900
2022-08-09,213.110001,213.110001,210.000000,212.309998,209.565628,445000
2022-08-10,216.839996,220.509995,216.820007,219.559998,216.721924,613800
2022-08-11,220.779999,220.779999,216.759995,218.300003,215.478195,581200
2022-08-12,218.610001,222.470001,218.610001,222.330002,219.456116,597200
2022-08-15,219.779999,223.029999,219.610001,220.240005,217.393127,351900
2022-08-16,217.020004,218.470001,215.020004,215.990005,213.198059,586900
2022-08-17,213.750000,215.029999,211.910004,214.020004,211.253525,618800
2022-08-18,214.490005,214.660004,212.589996,212.779999,210.029541,330000
2022-08-19,211.559998,211.619995,207.380005,208.690002,205.992432,697700
2022-08-22,206.389999,208.410004,205.050003,207.720001,205.034973,644900
2022-08-23,207.059998,207.750000,204.440002,204.520004,201.876328,447300
2022-08-24,203.809998,206.660004,202.619995,205.869995,203.208847,365100
2022-08-25,207.179993,207.929993,204.970001,207.720001,205.034973,449600
2022-08-26,207.279999,208.089996,197.070007,197.130005,194.581863,565500
2022-08-29,195.759995,196.770004,192.039993,192.080002,189.597137,477600
2022-08-30,193.039993,193.839996,188.740005,189.789993,187.336716,516000
2022-08-31,190.619995,191.539993,187.350006,188.750000,186.310181,640400
2022-09-01,186.940002,190.190002,184.380005,190.050003,187.593369,581700
2022-09-02,191.320007,192.139999,186.190002,187.500000,185.456894,487400
2022-09-06,188.520004,189.279999,185.759995,187.380005,185.338226,465800
2022-09-07,188.160004,194.389999,187.259995,193.479996,191.371719,496400
2022-09-08,191.910004,196.429993,191.860001,196.369995,194.230255,558500
2022-09-09,197.240005,198.529999,196.440002,197.160004,195.011642,410700
2022-09-12,198.080002,199.419998,196.889999,198.630005,196.465622,489000
2022-09-13,194.039993,194.639999,191.149994,191.330002,189.245193,677700
2022-09-14,191.490005,191.949997,186.619995,187.949997,185.901993,694300
2022-09-15,186.990005,190.820007,185.610001,186.720001,184.685394,737400
2022-09-16,184.660004,184.660004,180.649994,183.250000,181.253189,938300
2022-09-19,181.770004,183.220001,180.029999,182.610001,180.620193,582400
2022-09-20,179.860001,180.050003,176.369995,177.839996,175.902145,814100
2022-09-21,179.229996,181.679993,175.970001,176.690002,174.764694,593800
2022-09-22,175.160004,175.699997,170.619995,172.289993,170.412613,735900
2022-09-23,172.270004,174.940002,171.350006,174.910004,173.004089,863000
2022-09-26,174.910004,177.710007,173.240005,173.350006,171.461090,1029500
2022-09-27,174.479996,175.199997,168.639999,169.330002,167.484894,790500
2022-09-28,171.020004,173.750000,168.979996,173.130005,171.243469,723700
2022-09-29,171.990005,171.990005,166.250000,167.100006,165.279190,845200
2022-09-30,167.449997,172.979996,165.630005,171.429993,169.562012,1058100
2022-10-03,173.740005,174.490005,170.130005,173.339996,171.451202,1074800
2022-10-04,175.759995,182.979996,175.759995,182.300003,180.313568,663700
2022-10-05,180.000000,182.000000,176.699997,179.979996,178.018829,573700
2022-10-06,180.059998,180.320007,173.770004,174.320007,172.420517,968100
2022-10-07,171.179993,171.619995,168.339996,168.820007,166.980453,562000
2022-10-10,169.970001,169.970001,165.929993,168.550003,166.713409,498600
2022-10-11,168.250000,168.250000,163.320007,163.820007,162.034943,1002600
2022-10-12,164.679993,166.600006,162.119995,164.699997,162.905350,826300
2022-10-13,161.039993,166.399994,156.740005,164.929993,163.132843,986900
2022-10-14,166.809998,167.600006,158.869995,159.089996,157.356461,880100
2022-10-17,162.779999,166.139999,162.190002,164.240005,162.450363,904100
2022-10-18,168.470001,168.509995,164.889999,165.940002,164.131821,972000
2022-10-19,163.500000,163.500000,157.550003,160.119995,158.375259,1394800
2022-10-20,160.690002,160.690002,149.139999,150.240005,148.602921,2710500
2022-10-21,147.270004,152.710007,145.979996,152.020004,150.363525,2610500
2022-10-24,153.759995,158.270004,152.979996,157.000000,155.289230,1953700
