Date,Open,High,Low,Close,Adj Close,Volume
2023-04-17,162.610001,163.899994,162.059998,163.059998,160.439560,1439200
2023-04-18,163.949997,165.630005,163.399994,163.690002,161.059448,1620100
2023-04-19,163.820007,164.779999,161.270004,163.399994,160.774109,1525600
2023-04-20,162.149994,163.889999,161.960007,162.960007,160.341187,1119500
2023-04-21,163.410004,163.789993,161.179993,162.880005,160.262466,1046300
2023-04-24,162.759995,163.940002,162.759995,163.789993,161.157837,1047500
2023-04-25,164.839996,168.169998,163.630005,163.779999,161.147995,2216000
2023-04-26,162.149994,163.720001,161.119995,161.919998,159.317886,1504900
2023-04-27,163.100006,168.029999,162.039993,167.970001,165.270660,2086600
2023-04-28,167.330002,168.419998,166.270004,167.119995,164.434326,2140200
2023-05-01,167.210007,170.419998,166.529999,168.779999,166.067642,1794100
2023-05-02,168.889999,174.029999,166.399994,173.250000,170.465820,3755400
2023-05-03,174.949997,176.899994,172.009995,172.380005,169.609818,2200800
2023-05-04,171.360001,171.389999,167.350006,168.440002,165.733109,2115300
2023-05-05,169.550003,171.660004,169.199997,171.050003,169.164871,1914900
2023-05-08,171.679993,171.949997,168.559998,169.880005,168.007767,1657400
2023-05-09,169.309998,171.000000,168.279999,170.550003,168.670380,1100200
2023-05-10,171.610001,172.210007,167.250000,169.110001,167.246246,1435400
2023-05-11,167.960007,168.690002,166.949997,168.520004,166.662750,1145900
2023-05-12,169.779999,170.289993,166.710007,168.580002,166.722092,892100
2023-05-15,169.039993,171.009995,168.429993,169.919998,168.047318,1317000
2023-05-16,168.669998,168.690002,165.240005,166.410004,164.576004,2031300
2023-05-17,167.289993,171.460007,167.190002,171.000000,169.115417,2022500
2023-05-18,170.619995,174.949997,170.399994,174.610001,172.685638,2729900
2023-05-19,175.570007,177.490005,172.080002,174.149994,172.230698,1762100
2023-05-22,174.210007,176.130005,172.139999,174.179993,172.260376,1459200
2023-05-23,172.789993,174.279999,170.979996,171.360001,169.471451,1949000
2023-05-24,170.279999,170.300003,167.330002,168.169998,166.316589,1952700
2023-05-25,174.509995,177.300003,172.669998,176.949997,174.999832,3880800
2023-05-26,177.979996,183.750000,177.580002,182.460007,180.449127,4137100
2023-05-30,183.509995,184.970001,180.410004,181.809998,179.806274,2266900
2023-05-31,181.089996,181.690002,175.509995,175.899994,173.961426,3138800
2023-06-01,176.509995,180.020004,175.289993,179.039993,177.066803,2083700
2023-06-02,181.410004,187.380005,181.300003,186.479996,184.424805,2763100
2023-06-05,186.380005,186.380005,183.199997,183.589996,181.566666,1769400
2023-06-06,182.820007,185.270004,182.360001,183.419998,181.398529,1176800
2023-06-07,183.479996,188.720001,182.199997,188.600006,186.521469,2623000
2023-06-08,187.440002,188.779999,184.699997,187.820007,185.750046,3045900
2023-06-09,187.899994,188.229996,185.000000,187.300003,185.235779,1559300
2023-06-12,187.309998,190.100006,185.550003,189.550003,187.460983,1434900
2023-06-13,189.289993,193.899994,188.350006,193.860001,191.723495,1938500
2023-06-14,193.559998,194.880005,191.929993,193.070007,190.942200,1836700
2023-06-15,192.690002,197.490005,192.130005,196.889999,194.720108,2287400
2023-06-16,192.789993,196.880005,190.279999,191.259995,189.152130,6249200
2023-06-20,189.589996,194.570007,189.259995,194.229996,192.089386,2234900
2023-06-21,193.449997,195.720001,192.850006,194.839996,192.692688,2497300
2023-06-22,194.919998,196.470001,193.149994,195.600006,193.444305,2189800
2023-06-23,193.779999,195.479996,192.970001,194.460007,192.316879,2299400
2023-06-26,194.470001,197.929993,194.259995,196.080002,193.919022,1205900
2023-06-27,196.100006,198.389999,195.710007,197.649994,195.471695,1560700
2023-06-28,197.960007,197.960007,194.149994,194.750000,192.603668,2791100
2023-06-29,196.059998,199.720001,194.860001,198.850006,196.658508,2471900
2023-06-30,199.809998,202.360001,199.179993,201.100006,198.883698,1745600
2023-07-03,199.750000,201.210007,198.500000,200.630005,198.418884,740900
2023-07-05,199.089996,200.479996,198.259995,198.899994,196.707947,1585900
2023-07-06,197.550003,198.750000,196.350006,197.750000,195.570602,1862900
2023-07-07,197.250000,200.860001,196.759995,198.460007,196.272797,1586700
2023-07-10,199.190002,203.149994,198.940002,203.059998,200.822083,1629100
2023-07-11,201.669998,203.649994,201.270004,202.970001,200.733093,1769100
2023-07-12,205.000000,205.020004,201.660004,201.919998,199.694656,1636500
2023-07-13,202.509995,205.149994,201.179993,204.360001,202.107758,1498400
2023-07-14,203.960007,204.339996,202.100006,203.460007,201.217682,1087000
2023-07-17,203.350006,206.589996,202.220001,205.960007,203.690140,1385500
2023-07-18,206.210007,210.729996,205.970001,210.339996,208.021866,2500100
2023-07-19,208.419998,211.199997,208.279999,209.809998,207.497681,2516200
2023-07-20,210.869995,211.830002,209.860001,210.910004,208.585587,1974400
2023-07-21,210.839996,211.520004,206.759995,207.690002,205.401077,2583200
2023-07-24,208.330002,209.679993,207.000000,207.360001,205.074692,1651300
2023-07-25,205.580002,207.429993,205.080002,206.289993,204.016479,2275600
2023-07-26,204.839996,205.979996,200.860001,203.039993,200.802292,2676100
2023-07-27,204.600006,204.600006,201.479996,202.100006,199.872681,3367200
2023-07-28,203.910004,204.570007,202.250000,203.300003,201.059448,2031400
2023-07-31,204.690002,205.529999,203.250000,205.320007,203.057190,2346400
2023-08-01,211.389999,219.899994,211.000000,219.000000,216.586426,5024400
2023-08-02,218.080002,225.759995,216.389999,218.869995,216.457840,3603800
2023-08-03,217.740005,219.440002,215.639999,217.100006,214.707367,2133200
2023-08-04,217.929993,219.279999,215.699997,215.899994,214.369766,2043800
