Date,Open,High,Low,Close,Adj Close,Volume
2019-04-16,162.580002,162.919998,162.130005,162.860001,146.975616,3007100
2019-04-17,163.309998,164.649994,162.660004,162.889999,147.002670,3416400
2019-04-18,167.520004,169.860001,165.889999,169.059998,152.570923,6376900
2019-04-22,168.250000,169.419998,167.500000,168.240005,151.830887,3264700
2019-04-23,168.250000,172.000000,168.009995,171.809998,155.052612,4169400
2019-04-24,171.770004,172.110001,171.050003,171.289993,154.583389,3825200
2019-04-25,170.699997,170.949997,168.619995,170.419998,153.798264,3340300
2019-04-26,170.160004,172.289993,170.000000,172.250000,155.449753,2703300
2019-04-29,171.899994,173.119995,171.770004,172.550003,155.720490,2943100
2019-04-30,173.009995,174.009995,172.479996,173.630005,156.695175,3651700
2019-05-01,173.759995,174.339996,170.830002,170.940002,154.267548,3762200
2019-05-02,170.410004,171.539993,169.559998,171.380005,154.664597,4421600
2019-05-03,171.580002,173.639999,171.399994,173.539993,156.613922,4128600
2019-05-06,170.490005,173.500000,170.259995,172.610001,155.774673,3001700
2019-05-07,170.690002,171.770004,168.880005,169.850006,153.283875,4683900
2019-05-08,169.750000,171.440002,169.500000,170.360001,153.744110,2899600
2019-05-09,169.220001,170.500000,168.179993,170.389999,153.771164,2959600
2019-05-10,169.759995,172.100006,168.020004,171.630005,154.890244,2342300
2019-05-13,168.479996,168.899994,165.309998,166.820007,150.549362,3704800
2019-05-14,166.929993,169.279999,166.800003,168.160004,151.758682,2620700
2019-05-15,167.000000,170.000000,166.529999,169.380005,152.859665,1869400
2019-05-16,169.860001,172.050003,169.779999,170.789993,154.132156,3032800
2019-05-17,169.270004,171.210007,168.850006,169.949997,153.374115,2095000
2019-05-20,169.389999,169.960007,168.009995,168.619995,152.173782,2061700
2019-05-21,169.850006,170.570007,169.059998,169.600006,153.058228,2536400
2019-05-22,169.470001,170.490005,169.000000,169.309998,152.796509,2251500
2019-05-23,166.960007,167.279999,165.330002,166.440002,150.937424,2716300
2019-05-24,167.750000,167.860001,166.539993,166.679993,151.155045,2035500
2019-05-28,166.860001,167.619995,164.940002,165.259995,149.867371,3877400
2019-05-29,163.720001,165.130005,162.679993,164.369995,149.060257,2527900
2019-05-30,164.660004,165.740005,164.589996,165.449997,150.039673,1951600
2019-05-31,163.740005,165.220001,163.649994,164.309998,149.005814,1895500
2019-06-03,164.479996,166.970001,164.320007,166.470001,150.964676,2384800
2019-06-04,168.050003,168.800003,166.940002,168.149994,152.488205,2700200
2019-06-05,169.169998,169.679993,168.220001,169.410004,153.630844,2707400
2019-06-06,169.470001,170.679993,168.919998,170.259995,154.401657,2229200
2019-06-07,171.059998,173.240005,170.929993,172.259995,156.215378,2027800
2019-06-10,173.490005,173.970001,171.199997,171.279999,155.326660,3015800
2019-06-11,172.490005,173.410004,170.389999,171.649994,155.662140,1726700
2019-06-12,171.860001,173.169998,171.440002,172.899994,156.795746,1570800
2019-06-13,173.570007,173.589996,172.330002,173.190002,157.058777,1400700
2019-06-14,172.940002,173.509995,171.100006,172.809998,156.714127,1627600
2019-06-17,173.380005,173.500000,172.020004,172.360001,156.306061,1646400
2019-06-18,173.559998,176.429993,173.139999,175.750000,159.380295,2883700
2019-06-19,175.639999,176.149994,174.250000,175.410004,159.071976,2187000
2019-06-20,176.419998,177.360001,175.130005,176.289993,159.869995,4234300
2019-06-21,176.880005,176.889999,173.559998,174.309998,158.074417,3813800
2019-06-24,174.289993,175.509995,174.210007,174.610001,158.346497,1795600
2019-06-25,175.020004,175.410004,173.630005,173.940002,157.738907,1843700
2019-06-26,174.550003,174.789993,173.539993,173.589996,157.421509,1815800
2019-06-27,174.080002,174.619995,173.210007,173.839996,157.648209,1811600
2019-06-28,174.190002,175.380005,174.000000,174.589996,158.328339,3551300
2019-07-01,176.630005,176.990005,175.660004,176.809998,160.341568,1613600
2019-07-02,176.990005,177.479996,176.149994,176.619995,160.169266,1407000
2019-07-03,176.770004,178.470001,176.210007,178.399994,161.783463,1240000
2019-07-05,177.210007,177.449997,174.669998,176.589996,160.142044,1208800
2019-07-08,176.300003,176.309998,174.800003,175.669998,159.307724,1573900
2019-07-09,175.000000,175.759995,174.589996,175.520004,159.171722,1595900
2019-07-10,176.119995,176.940002,174.369995,174.460007,158.210464,1865600
2019-07-11,174.830002,175.029999,173.240005,174.539993,158.283005,2426400
2019-07-12,174.750000,177.190002,174.750000,177.139999,160.640839,2197200
2019-07-15,177.360001,177.360001,174.529999,175.009995,158.709213,1668000
2019-07-16,175.000000,175.889999,174.300003,174.779999,158.500641,1989000
2019-07-17,174.570007,174.649994,168.520004,168.619995,152.914368,5475500
2019-07-18,170.600006,173.880005,169.699997,173.880005,157.684525,4128000
2019-07-19,174.039993,175.000000,172.919998,172.990005,156.877380,3037900
2019-07-22,173.020004,174.490005,172.429993,173.580002,157.412430,1764200
2019-07-23,175.210007,175.589996,173.470001,174.860001,158.573196,2081300
2019-07-24,174.250000,175.309998,173.800003,173.960007,157.757065,1751300
2019-07-25,174.550003,174.660004,173.009995,173.770004,157.584732,1759200
2019-07-26,173.520004,173.729996,172.660004,173.610001,157.439621,1758900
