Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,135.619995,140.350006,135.559998,139.320007,132.701096,8785700
2022-04-19,138.830002,141.399994,137.539993,141.050003,134.348892,7213800
2022-04-20,143.210007,144.809998,140.059998,140.339996,133.672653,7731600
2022-04-21,142.339996,143.639999,135.259995,136.110001,129.643600,8576500
2022-04-22,136.130005,137.330002,132.649994,132.809998,126.500366,8315100
2022-04-25,131.320007,136.809998,130.910004,136.559998,130.072205,9673200
2022-04-26,135.020004,136.350006,132.630005,133.500000,127.157600,9262800
2022-04-27,130.820007,138.110001,130.660004,135.100006,128.681595,13855900
2022-04-28,142.869995,151.199997,139.130005,148.190002,141.149704,31111100
2022-04-29,145.809998,147.500000,139.520004,139.690002,133.053543,13693100
2022-05-02,140.600006,145.660004,139.160004,145.270004,138.368423,13320900
2022-05-03,144.710007,145.690002,142.759995,144.259995,137.406403,7556800
2022-05-04,144.580002,149.500000,140.350006,149.050003,141.968842,11038100
2022-05-05,146.979996,146.979996,139.179993,141.639999,134.910889,14561400
2022-05-06,141.250000,144.100006,137.880005,140.580002,133.901245,10080600
2022-05-09,137.990005,140.110001,134.059998,134.919998,128.510147,11668100
2022-05-10,139.500000,139.800003,134.630005,136.809998,130.310349,8841200
2022-05-11,135.029999,138.289993,131.889999,132.300003,126.014618,11530900
2022-05-12,131.000000,133.059998,127.820000,131.770004,125.509804,10749800
2022-05-13,134.289993,135.990005,132.500000,134.929993,128.519653,9280700
2022-05-16,133.979996,135.979996,132.000000,133.910004,127.548149,6378800
2022-05-17,137.250000,140.000000,136.699997,139.690002,133.053543,9094100
2022-05-18,136.830002,137.279999,129.880005,130.449997,124.252502,11992700
2022-05-19,130.449997,133.389999,129.479996,130.570007,124.366806,8419500
2022-05-20,132.880005,133.289993,125.860001,131.600006,125.347870,11370100
2022-05-23,129.949997,132.429993,128.149994,132.119995,125.843163,10023400
2022-05-24,130.339996,130.339996,126.050003,128.529999,122.423721,9157100
2022-05-25,127.800003,132.070007,127.250000,131.229996,124.995438,9766000
2022-05-26,130.009995,136.000000,129.860001,134.839996,128.433929,7932800
2022-05-27,136.100006,140.139999,136.100006,139.759995,133.120193,9180800
2022-05-31,139.500000,143.970001,137.440002,143.220001,136.415817,16007300
2022-06-01,142.550003,143.910004,138.169998,140.020004,134.069916,8514300
2022-06-02,140.259995,146.250000,139.699997,146.199997,139.987320,9589500
2022-06-03,142.179993,143.440002,140.610001,141.220001,135.218933,7458900
2022-06-06,144.949997,144.970001,139.919998,140.440002,134.472076,7238700
2022-06-07,139.130005,142.149994,138.490005,141.889999,135.860458,6062800
2022-06-08,140.750000,141.759995,137.449997,138.960007,133.054962,6773000
2022-06-09,137.770004,140.440002,136.690002,136.710007,130.900589,7153200
2022-06-10,134.750000,136.059998,132.419998,133.199997,127.539742,8544700
2022-06-13,130.589996,131.350006,126.599998,128.660004,123.192665,12320900
2022-06-14,130.210007,131.929993,128.820007,130.259995,124.724678,6794700
2022-06-15,131.669998,133.279999,128.210007,131.029999,125.461952,7860000
