SYMBOL,NAME,Capitalization,High 52 Weeks,Low 52 Weeks,Sector,Index
AMD,Advanced Micro Devices Inc,263.883B,81.02,227.30,Technology,Nasdaq 100
CEG,Constellation Energy Corp,60.399B,74.17,198.83,Utilities,Nasdaq 100
AMZN,Amazon.com Inc,1.936T,101.15,189.77,Consumer Cyclical,Nasdaq 100
AMGN,Amgen Inc,143.24B,211.71,329.72,Healthcare,Nasdaq 100
AEP,American Electric Power Company Inc,43.233B,69.38,94.73,Utilities,Nasdaq 100
CDW,CDW Corp,,,,,Nasdaq 100
CCEP,Coca-Cola Europacific Partners PLC,,,,,Nasdaq 100
ADI,Analog Devices Inc,95.348B,154.99,204.20,Technology,Nasdaq 100
MDB,MongoDB Inc,25.641B,212.52,509.62,Technology,Nasdaq 100
DASH,DoorDash Inc,55.906B,56.59,143.34,Communication Services,Nasdaq 100
ROP,Roper Technologies Inc,57.346B,430.03,565.00,Technology,Nasdaq 100
ANSS,ANSYS Inc,29.176B,258.01,364.31,Technology,Nasdaq 100
AAPL,Apple Inc,2.726T,162.80,199.62,Technology,Nasdaq 100
AMAT,Applied Materials Inc,172.71B,109.00,214.91,Technology,Nasdaq 100
GEHC,GE Healthcare Technologies Inc,39.372B,62.35,94.50,Healthcare,Nasdaq 100
ASML,ASML Holding NV,385.304B,564.00,"1,056.34",Technology,Nasdaq 100
TEAM,Atlassian Corp,53.575B,128.02,258.69,Technology,Nasdaq 100
ADSK,Autodesk Inc,50.694B,188.38,279.53,Technology,Nasdaq 100
