SYMBOL,NAME,SECTOR,Capitalization,High 52 Weeks,Low 52 Weeks,Index
COF,Capital One Financial,Financials,53.11B,83.93,149.28,Nasdaq 100
CAH,Cardinal Health Inc.,Health Care,25.564B,77.56,116.04,Nasdaq 100
CFN,Carefusion,Health Care,,,,Nasdaq 100
KMX,Carmax Inc,Consumer Discretionary,11.255B,59.66,88.22,Nasdaq 100
CCL,Carnival Corp.,Consumer Discretionary,18.812B,8.70,19.74,Nasdaq 100
CAT,Caterpillar Inc.,Industrials,182.587B,204.04,382.01,Nasdaq 100
CBG,CBRE Group,Financials,,,,Nasdaq 100
CBS,CBS Corp.,Consumer Discretionary,,,,Nasdaq 100
CELG,Celgene Corp.,Health Care,,,,Nasdaq 100
CNP,CenterPoint Energy,Utilities,,,,Nasdaq 100
CTL,CenturyLink Inc,Telecommunications Services,,,,Nasdaq 100
CERN,Cerner,Health Care,,,,Nasdaq 100
CF,CF Industries Holdings Inc,Materials,14.661B,60.08,87.90,Nasdaq 100
SCHW,Charles Schwab,Financials,127.941B,45.65,72.97,Nasdaq 100
CHK,Chesapeake Energy,Energy,11.587B,72.84,91.03,Nasdaq 100
CVX,Chevron Corp.,Energy,293.65B,139.62,172.54,Nasdaq 100
CMG,Chipotle Mexican Grill,Consumer Discretionary,81.101B,"1,738.66","3,023.98",Nasdaq 100
CB,Chubb Corp.,Financials,99.795B,183.71,260.58,Nasdaq 100
CI,CIGNA Corp.,Health Care,99.231B,240.50,365.71,Nasdaq 100
CINF,Cincinnati Financial,Financials,,,,Nasdaq 100
CTAS,Cintas Corporation,Industrials,67.819B,438.59,704.84,Nasdaq 100
CSCO,Cisco Systems,Information Technology,196.345B,45.56,58.19,Nasdaq 100
C,Citigroup Inc.,Financials,113.834B,38.17,63.90,Nasdaq 100
CTXS,Citrix Systems,Information Technology,,,,Nasdaq 100
CLF,Cliffs Natural Resources,Materials,10.289B,13.61,22.97,Nasdaq 100
CLX,Clorox Co.,Consumer Staples,17.621B,114.69,178.21,Nasdaq 100
CME,CME Group Inc.,Financials,75.426B,175.73,223.80,Nasdaq 100
CMS,CMS Energy,Utilities,17.218B,49.87,63.76,Nasdaq 100
COH,Coach Inc.,Consumer Discretionary,,,,Nasdaq 100
KO,Coca Cola Co.,Consumer Staples,251.256B,51.55,64.99,Nasdaq 100
CCE,Coca-Cola Enterprises,Consumer Staples,,,,Nasdaq 100
CTSH,Cognizant Technology Solutions,Information Technology,34.481B,58.09,80.09,Nasdaq 100
CL,Colgate-Palmolive,Consumer Staples,70.567B,67.62,90.37,Nasdaq 100
CMCSA,Comcast Corp.,Consumer Discretionary,156.372B,36.39,47.46,Nasdaq 100
CMA,Comerica Inc.,Financials,6.789B,28.40,57.39,Nasdaq 100
CSC,Computer Sciences Corp.,Information Technology,,,,Nasdaq 100
CAG,ConAgra Foods Inc.,Consumer Staples,14.012B,25.16,38.73,Nasdaq 100
COP,ConocoPhillips,Energy,153.648B,95.70,135.18,Nasdaq 100
CNX,CONSOL Energy Inc.,Energy,3.718B,14.36,24.82,Nasdaq 100
ED,Consolidated Edison,Utilities,30.641B,80.46,100.92,Nasdaq 100
STZ,Constellation Brands,Consumer Staples,47.943B,221.81,274.87,Nasdaq 100
CBE,Cooper Industries,Industrials,,,,Nasdaq 100
GLW,Corning Inc.,Industrials,26.935B,25.26,36.02,Nasdaq 100
COST,Costco Co.,Consumer Staples,324.339B,476.75,787.08,Nasdaq 100
CVH,Coventry Health Care Inc.,Health Care,,,,Nasdaq 100
COV,Covidien plc,Health Care,,,,Nasdaq 100
CCI,Crown Castle International Corp.,Telecommunications Services,42.022B,84.72,134.09,Nasdaq 100
CSX,CSX Corp.,Industrials,69.181B,29.03,40.12,Nasdaq 100
CMI,Cummins Inc.,Industrials,40.84B,203.18,304.25,Nasdaq 100
CVS,CVS Caremark Corp.,Consumer Staples,86.519B,64.41,83.25,Nasdaq 100
DHI,D. R. Horton,Consumer Discretionary,50.34B,97.92,165.75,Nasdaq 100
DHR,Danaher Corp.,Industrials,177.694B,182.09,259.00,Nasdaq 100
DRI,Darden Restaurants,Consumer Discretionary,18.268B,133.36,176.84,Nasdaq 100
DVA,DaVita Inc.,Health Care,11.388B,71.51,141.54,Nasdaq 100
DF,Dean Foods,Consumer Staples,,,,Nasdaq 100
DE,Deere & Co.,Industrials,110.583B,345.55,450.00,Nasdaq 100
DELL,Dell Inc.,Information Technology,84.056B,41.47,136.16,Nasdaq 100
DNR,Denbury Resources Inc.,Energy,,,,Nasdaq 100
XRAY,Dentsply International,Health Care,,,,Nasdaq 100
DVN,Devon Energy Corp.,Energy,33.922B,40.47,56.19,Nasdaq 100
DV,"DeVry, Inc.",Consumer Discretionary,5.557B,26.23,43.00,Nasdaq 100
DO,Diamond Offshore Drilling,Energy,1.437B,10.44,17.32,Nasdaq 100
DTV,DirecTV,Consumer Discretionary,,,,Nasdaq 100
DFS,Discover Financial Services,Financials,30.296B,79.04,131.65,Nasdaq 100
DISCA,Discovery Communications,Consumer Discretionary,,,,Nasdaq 100
DLTR,Dollar Tree,Consumer Discretionary,27.289B,102.77,161.10,Nasdaq 100
